date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting,daily_new_positives,cumulative_positives,num_daily_tests,cumulative_tests,test_positivity_rate,symptom:combined
2021-01-01,0.32,0.37,0.3,3.75,3.5,3.72,3.49,4.49,0.16,1.66,2.12,0.65,1.4,2.85,15074,1005785,202446,25706759,0.0745,14.8431
2021-01-02,0.36,0.42,0.3,3.9,3.38,3.95,3.65,4.08,0.16,1.66,1.9,0.69,1.43,2.4,11368,1017153,142345,25849104,0.0799,14.871699999999999
2021-01-03,0.34,0.46,0.29,3.88,3.39,4.03,3.69,3.83,0.17,1.66,1.84,0.7,1.4,2.37,11209,1028362,134360,25983464,0.0834,14.766200000000001
2021-01-04,0.28,0.34,0.31,3.93,3.37,4.34,4.0,3.93,0.22,1.48,1.85,0.77,1.42,2.27,12666,1041028,152402,26135866,0.0831,15.328199999999997
2021-01-05,0.27,0.32,0.33,3.98,3.38,4.42,4.11,4.31,0.22,1.51,1.81,0.74,1.4,2.14,16648,1057676,197816,26333682,0.0842,15.689799999999998
2021-01-06,0.26,0.29,0.3,3.62,3.12,4.07,3.79,3.91,0.21,1.38,1.72,0.65,1.32,1.99,17636,1075312,238550,26572232,0.0739,14.399999999999999
2021-01-07,0.28,0.32,0.31,3.68,3.15,4.15,3.83,3.88,0.21,1.43,1.68,0.67,1.34,2.03,18832,1094144,243903,26816135,0.0771999999999999,14.558
2021-01-08,0.29,0.33,0.31,3.72,3.23,3.95,3.73,3.81,0.2,1.45,1.69,0.65,1.3,2.07,16943,1111087,258031,27074166,0.0657,14.357599999999998
2021-01-09,0.32,0.37,0.3,3.77,3.26,3.71,3.71,4.04,0.17,1.68,1.79,0.64,1.28,2.18,15355,1126442,246836,27321002,0.0622,14.428299999999998
2021-01-10,0.29,0.34,0.28,3.66,3.27,3.84,3.56,3.89,0.18,1.61,1.82,0.65,1.25,2.15,13714,1140156,203904,27524906,0.0673,14.186499999999999
2021-01-11,0.25,0.3,0.3,3.79,3.19,4.12,3.83,3.81,0.2,1.47,1.78,0.76,1.31,2.14,15214,1155370,196671,27721577,0.0774,14.674700000000001
2021-01-12,0.24,0.29,0.31,3.78,3.23,4.38,3.84,3.91,0.24,1.45,1.79,0.72,1.31,2.07,14577,1169947,196868,27918445,0.074,14.906699999999999
2021-01-13,0.25,0.28,0.32,3.65,3.19,4.24,3.85,3.85,0.2,1.45,1.72,0.69,1.29,2.02,13661,1183608,212589,28131034,0.0643,14.593799999999998
2021-01-14,0.25,0.28,0.28,3.64,3.23,4.28,3.85,3.99,0.23,1.41,1.72,0.72,1.28,2.03,19942,1203550,324671,28455705,0.0613999999999999,14.712099999999998
2021-01-15,0.23,0.28,0.27,3.55,3.13,3.88,3.69,3.95,0.21,1.33,1.7,0.67,1.22,2.02,15998,1219548,277286,28732991,0.0576999999999999,14.107400000000002
2021-01-16,0.28,0.33,0.25,3.62,3.33,3.79,3.49,4.02,0.17,1.51,1.77,0.64,1.27,2.12,13842,1233390,246507,28979498,0.0562,14.107600000000001
2021-01-17,0.27,0.32,0.29,3.5,3.42,3.82,3.47,4.54,0.17,1.48,1.85,0.65,1.25,2.23,12185,1245575,186205,29165703,0.0654,14.407799999999998
2021-01-18,0.25,0.31,0.26,3.67,3.37,4.22,3.56,4.08,0.21,1.49,1.84,0.72,1.31,2.19,12512,1258087,177269,29342972,0.0706,14.6368
2021-01-19,0.23,0.29,0.28,3.62,3.35,4.24,3.62,3.88,0.21,1.36,1.75,0.71,1.31,2.08,13364,1271451,195409,29538381,0.0684,14.470600000000001
2021-01-20,0.19,0.23,0.28,3.41,3.08,3.94,3.47,3.76,0.2,1.27,1.61,0.65,1.23,1.98,13886,1285337,224569,29762950,0.0617999999999999,13.652700000000001
2021-01-21,0.22,0.26,0.3,3.61,3.25,4.27,3.66,3.99,0.23,1.4,1.68,0.69,1.27,2.05,15144,1300481,268001,30030951,0.0565,14.505799999999999
2021-01-22,0.21,0.26,0.27,3.47,3.2,3.9,3.61,3.9,0.23,1.41,1.67,0.65,1.23,2.03,13786,1314267,262106,30293057,0.0526,13.982
2021-01-23,0.24,0.28,0.27,3.52,3.25,3.7,3.36,3.98,0.19,1.53,1.75,0.65,1.28,2.14,12720,1326987,249955,30543012,0.0509,13.8245
2021-01-24,0.24,0.27,0.29,3.54,3.31,3.85,3.39,3.96,0.2,1.59,1.78,0.62,1.27,2.16,12003,1338990,219538,30762550,0.0547,13.983899999999998
2021-01-25,0.19,0.25,0.28,3.72,3.46,4.2,3.64,3.96,0.23,1.52,1.81,0.74,1.26,2.17,11064,1350054,162938,30925488,0.0679,14.676599999999999
2021-01-26,0.2,0.26,0.29,3.62,3.31,4.22,3.8,3.93,0.22,1.47,1.78,0.71,1.25,2.1,11028,1361082,202661,31128149,0.0544,14.6169
2021-01-27,0.19,0.24,0.28,3.5,3.27,4.27,3.62,3.88,0.22,1.37,1.73,0.71,1.25,2.04,13398,1374480,250668,31378817,0.0533999999999999,14.311300000000001
2021-01-28,0.19,0.22,0.26,3.51,3.22,4.02,3.52,3.81,0.22,1.38,1.65,0.64,1.21,1.96,12579,1387059,270518,31649335,0.0465,13.9153
2021-01-29,0.18,0.23,0.26,3.44,3.05,3.69,3.38,3.65,0.2,1.36,1.57,0.61,1.22,1.94,12804,1399863,269350,31918685,0.0475,13.323399999999996
2021-01-30,0.22,0.27,0.27,3.51,3.25,3.62,3.29,4.04,0.18,1.61,1.74,0.62,1.25,2.13,10793,1410656,243066,32161751,0.0444,13.7078
2021-01-31,0.18,0.27,0.26,3.31,3.19,3.5,3.12,3.75,0.17,1.5,1.7,0.63,1.19,2.1,8508,1419164,175038,32336789,0.0486,13.0681
2021-02-01,0.18,0.24,0.23,3.16,2.92,3.66,3.0,3.71,0.2,1.24,1.61,0.69,1.13,1.93,8215,1427379,150199,32486988,0.0547,12.744599999999998
2021-02-02,0.2,0.25,0.24,3.34,3.12,4.01,3.19,3.75,0.22,1.31,1.71,0.72,1.2,2.04,5925,1433304,126489,32613477,0.0467999999999999,13.4897
2021-02-03,0.17,0.23,0.27,3.51,3.22,4.16,3.44,3.9,0.23,1.29,1.73,0.73,1.24,2.05,7414,1440718,169186,32782663,0.0438,14.095
2021-02-04,0.18,0.23,0.28,3.46,3.25,4.19,3.59,3.99,0.23,1.29,1.78,0.71,1.19,2.13,8777,1449495,203627,32986290,0.0431,14.260399999999995
2021-02-05,0.16,0.2,0.26,3.3,3.2,3.97,3.48,3.98,0.23,1.22,1.71,0.71,1.16,2.04,11252,1460747,261285,33247575,0.0431,13.799599999999998
2021-02-06,0.19,0.23,0.26,3.31,3.34,3.78,3.35,4.15,0.2,1.35,1.79,0.68,1.21,2.2,10025,1470772,250892,33498467,0.04,13.796699999999998
2021-02-07,0.17,0.21,0.23,3.12,3.17,3.57,3.04,3.87,0.2,1.26,1.73,0.64,1.15,2.09,8448,1479220,197183,33695650,0.0428,12.911699999999998
2021-02-08,0.15,0.2,0.26,3.31,3.28,4.18,3.29,3.85,0.22,1.23,1.76,0.73,1.26,2.14,7866,1487086,153648,33849298,0.0512,13.813999999999997
2021-02-09,0.14,0.19,0.27,3.38,3.19,4.34,3.53,3.98,0.24,1.3,1.72,0.76,1.23,2.07,7101,1494187,176750,34026048,0.0401999999999999,14.210799999999999
2021-02-10,0.16,0.2,0.27,3.3,3.23,4.3,3.52,3.96,0.24,1.27,1.74,0.72,1.22,2.04,10099,1504286,285499,34311547,0.0354,14.0933
2021-02-11,0.15,0.19,0.27,3.36,3.17,4.21,3.44,3.89,0.24,1.25,1.66,0.7,1.22,2.01,8404,1512690,237134,34548681,0.0354,13.911299999999999
2021-02-12,0.15,0.18,0.28,3.17,3.08,3.71,3.44,3.69,0.2,1.26,1.64,0.66,1.13,1.99,8763,1521453,253563,34802244,0.0346,13.2014
2021-02-13,0.17,0.21,0.27,3.19,3.24,3.63,3.46,3.94,0.19,1.43,1.76,0.61,1.17,2.12,8316,1529769,234708,35036952,0.0354,13.4525
2021-02-14,0.17,0.22,0.27,3.07,3.12,3.59,3.16,3.75,0.18,1.34,1.76,0.64,1.14,2.19,6365,1536134,180504,35217456,0.0353,12.930100000000003
2021-02-15,0.15,0.2,0.27,3.31,3.32,4.17,3.38,3.96,0.22,1.38,1.89,0.75,1.23,2.26,6753,1542887,136392,35353848,0.0495,14.040399999999998
2021-02-16,0.15,0.21,0.24,3.29,3.29,4.37,3.32,3.98,0.24,1.29,1.85,0.8,1.25,2.19,6092,1548979,169963,35523811,0.0358,14.100499999999998
2021-02-17,0.15,0.19,0.28,3.26,3.21,4.27,3.35,3.94,0.23,1.28,1.78,0.76,1.24,2.17,6794,1555773,215731,35739542,0.0315,13.943999999999997
2021-02-18,0.14,0.18,0.25,3.31,3.2,4.14,3.3,4.1,0.23,1.34,1.79,0.73,1.26,2.08,8710,1564483,249248,35988790,0.0349,13.921699999999998
2021-02-19,0.15,0.19,0.23,3.2,3.23,4.05,3.17,4.08,0.23,1.26,1.75,0.7,1.21,2.13,7692,1572175,251645,36240435,0.0306,13.608299999999998
2021-02-20,0.17,0.2,0.24,3.21,3.38,3.94,3.22,4.07,0.2,1.37,1.87,0.64,1.22,2.28,6610,1578785,221157,36461592,0.0299,13.674100000000001
2021-02-21,0.17,0.21,0.27,3.19,3.36,4.13,3.17,4.05,0.23,1.39,1.9,0.7,1.21,2.33,6146,1584931,142019,36603611,0.0433,13.804400000000001
2021-02-22,0.15,0.19,0.26,3.29,3.38,4.61,3.32,4.0,0.25,1.24,1.85,0.76,1.2,2.25,6654,1591585,157333,36760944,0.0423,14.2702
2021-02-23,0.14,0.2,0.26,3.3,3.38,4.72,3.42,4.04,0.25,1.25,1.83,0.78,1.23,2.15,6189,1597774,216813,36977757,0.0285,14.455
2021-02-24,0.15,0.19,0.24,3.27,3.29,4.57,3.31,4.05,0.26,1.22,1.78,0.79,1.25,2.11,8746,1606520,278942,37256699,0.0314,14.2027
2021-02-25,0.14,0.19,0.26,3.23,3.25,4.47,3.33,3.98,0.24,1.18,1.71,0.75,1.17,2.1,8204,1614724,291189,37547888,0.0282,13.9807
2021-02-26,0.13,0.18,0.25,3.14,3.16,4.05,3.25,3.76,0.24,1.18,1.7,0.68,1.12,2.05,8141,1622865,285307,37833195,0.0285,13.3366
2021-02-27,0.16,0.23,0.25,3.15,3.29,3.95,3.27,4.13,0.21,1.32,1.8,0.66,1.19,2.24,7580,1630445,273720,38106915,0.0277,13.653099999999998
2021-02-28,0.15,0.2,0.24,3.14,3.33,4.04,3.08,3.9,0.22,1.28,1.82,0.68,1.14,2.31,6235,1636680,174158,38281073,0.0358,13.4233
2021-03-01,0.14,0.19,0.26,3.18,3.27,4.45,3.27,3.77,0.22,1.14,1.8,0.74,1.19,2.19,5800,1642480,128034,38409107,0.0453,13.790000000000003
2021-03-02,0.14,0.2,0.25,3.2,3.2,4.4,3.27,3.75,0.24,1.19,1.69,0.73,1.23,2.04,7704,1650184,218069,38627176,0.0353,13.7041
2021-03-03,0.14,0.19,0.27,3.27,3.28,4.58,3.33,4.08,0.24,1.29,1.72,0.78,1.22,2.08,7593,1657777,270089,38897265,0.0281,14.2081
2021-03-04,0.14,0.18,0.25,3.24,3.27,4.46,3.28,3.88,0.26,1.28,1.67,0.72,1.19,2.1,8956,1666733,296935,39194200,0.0302,13.883099999999999
2021-03-05,0.15,0.17,0.26,3.27,3.12,3.98,3.2,3.74,0.24,1.35,1.65,0.68,1.16,2.08,7647,1674380,273132,39467332,0.0279999999999999,13.363600000000002
2021-03-06,0.16,0.2,0.26,3.22,3.25,3.94,3.17,3.89,0.2,1.47,1.82,0.62,1.2,2.28,6789,1681169,227768,39695100,0.0298,13.471099999999998
2021-03-07,0.15,0.2,0.27,3.2,3.28,4.01,3.24,3.87,0.21,1.39,1.82,0.66,1.2,2.26,5309,1686478,146456,39841556,0.0362,13.576099999999999
2021-03-08,0.15,0.19,0.27,3.31,3.3,4.41,3.39,3.86,0.24,1.3,1.74,0.73,1.25,2.15,6850,1693328,174514,40016070,0.0393,14.064499999999999
2021-03-09,0.13,0.16,0.25,3.33,3.21,4.48,3.48,3.86,0.25,1.35,1.69,0.76,1.27,2.05,6489,1699817,205616,40221686,0.0316,14.1463
2021-03-10,0.14,0.18,0.25,3.36,3.24,4.41,3.39,3.77,0.26,1.3,1.68,0.74,1.23,2.1,6747,1706564,243153,40464839,0.0277,13.997399999999999
2021-03-11,0.14,0.18,0.24,3.26,3.22,4.35,3.42,3.78,0.25,1.21,1.66,0.74,1.23,2.0,9299,1715863,299278,40764117,0.0311,13.857099999999999
2021-03-12,0.13,0.17,0.23,3.13,3.21,4.0,3.2,3.61,0.23,1.21,1.64,0.69,1.14,2.06,6600,1722463,225793,40989910,0.0292,13.1644
2021-03-13,0.16,0.2,0.25,3.17,3.33,3.88,3.23,3.7,0.2,1.39,1.78,0.64,1.21,2.26,5943,1728406,206680,41196590,0.0288,13.343099999999996
2021-03-14,0.15,0.21,0.26,3.16,3.24,3.98,3.06,3.56,0.19,1.37,1.77,0.67,1.2,2.23,5807,1734213,127005,41323595,0.0457,13.1477
2021-03-15,0.14,0.21,0.26,3.36,3.31,4.37,3.28,3.59,0.24,1.34,1.79,0.74,1.29,2.19,6508,1740721,157096,41480691,0.0414,13.881800000000002
2021-03-16,0.14,0.21,0.27,3.54,3.32,4.55,3.47,3.67,0.24,1.45,1.75,0.74,1.33,2.18,8976,1749697,263401,41744092,0.0341,14.366
2021-03-17,0.14,0.19,0.25,3.28,3.27,4.28,3.41,3.66,0.24,1.38,1.72,0.7,1.24,2.12,7796,1757493,271463,42015555,0.0287,13.8069
2021-03-18,0.16,0.21,0.24,3.39,3.32,4.43,3.4,3.77,0.24,1.33,1.72,0.71,1.28,2.18,8262,1765755,278590,42294145,0.0297,14.0944
2021-03-19,0.14,0.19,0.26,3.2,3.24,3.94,3.12,3.39,0.23,1.28,1.64,0.66,1.2,2.08,7623,1773378,258129,42552274,0.0295,13.045000000000002
2021-03-20,0.16,0.21,0.27,3.32,3.41,3.81,3.22,3.8,0.21,1.5,1.76,0.65,1.28,2.24,7938,1781316,246266,42798540,0.0322,13.563300000000002
2021-03-21,0.17,0.21,0.25,3.33,3.3,3.94,3.23,3.79,0.22,1.53,1.79,0.7,1.25,2.32,6361,1787677,152328,42950868,0.0418,13.6484
2021-03-22,0.15,0.21,0.27,3.46,3.35,4.36,3.36,3.64,0.24,1.4,1.77,0.77,1.31,2.23,6801,1794478,143521,43094389,0.0474,14.1061
2021-03-23,0.16,0.26,0.24,3.49,3.35,4.5,3.46,3.66,0.25,1.36,1.71,0.75,1.34,2.13,7278,1801756,207496,43301885,0.0351,14.272499999999999
2021-03-24,0.15,0.25,0.26,3.5,3.38,4.46,3.51,3.69,0.24,1.35,1.68,0.73,1.32,2.07,8081,1809837,268276,43570161,0.0301,14.289099999999998
